address,neighborhood,building_name
1925 queen anne ave n,Upper Queen Anne,Mixed Use
2200 nw 59th st,Ballard,HEIDI CONDOMINIUM
1808 bigelow ave n,Outside Villages,ESSEX HOUSE CONDOMINIUM
6334 rainier ave s,Outside Villages,GARDEN COURT APTS
2440 54th pl sw,Outside Villages,13 unit townhouses
901 taylor ave n,Uptown,THE ORION APARTMENTS
7919 wallingford ave n,Outside Villages,APARTMENTS
2919 nw 85th st,Outside Villages,10 UNIT APT
4515 29th ave s,Columbia City,McBRIDE COURT
15 w etruria st,Outside Villages,QUEEN ANNE TERRACE APTS
6200 24th ave nw,Ballard,6200-24TH N W CONDOMINIUM
3940 s pearl st,Columbia City,12 UNIT APT BLDG
4902 aurora ave n,Outside Villages,SANTORINI AT THE PARK APTS + OFFICE
2156 8th ave w,Outside Villages,WESTMORELAND APARTMENTS
110 6th ave n,Uptown,ANNALIESE & HYATT PLACE HOTEL
2900 s king st,Outside Villages,LESCHI HEIGHTS
651 s main st,Chinatown-International District,NIHONMACHI TERRACE APTS
7547 24th ave nw,Outside Villages,LOYAL HEIGHTS MANOR
8820 nesbit ave n,Aurora-Licton Springs,NESBIT COURT CONDOMINIUM
7814 greenwood ave n,Greenwood-Phinney Ridge,RIDGEVIEW CONDOMINIUM
315 maynard ave s,Chinatown-International District,INTERNATIONAL APTS-53 UNITS
2014 4th ave,Belltown,THE VIRGINIAN APTS
500 wall st,Belltown,ARCHSTONE BELLTOWN
3003 14th ave w,Outside Villages,COURTYARD THE CONDOMINIUM
1305 e fir st,12th Avenue,BALDWIN APTS
2349 w newton st,Outside Villages,APARTMENT
3519 fremont pl n,Fremont,FREMONT PLACE APARTMENTS
2101 e james st,23rd & Union-Jackson,UNION JAMES APARTMENTS
1603 n 46th st,Wallingford,WOODLAWN CREST APTS
2201 4th ave,Belltown,Shelby Apts
2619 5th ave,Belltown,EDWARDS ON FIFTH
2219 2nd ave,Belltown,CONCEPT ONE APTS
4269 gilman ave w,Outside Villages,CANDYCE
2565 dexter ave n,Outside Villages,CARLETON HOUSE CONDOMINIUM
748 n 95th st,Aurora-Licton Springs,10-UNIT APT
2701 3rd ave w,Outside Villages,Marion B. Robbins Apts
2117 n 107th st,Northgate,ASPEN THE CONDOMINIUM
718 4th ave n,Uptown,31 UNIT APARTMENT
2632 21st ave w,Outside Villages,Lyons Gate Apartments
1706 nw 59th st,Ballard,13-UNIT APARTMENT
1531 nw 61st st,Ballard,APARTMENTS
8000 28th ave nw,Outside Villages,ARIA CONDOMINIUM
7020 rainier ave s,Outside Villages,MYRTLE STREET APTS
5121 17th ave nw,Ballard,SUNSET HOUSE APTS
1432 nw 61st st,Ballard,APARTMENT
3609 14th ave w,Outside Villages,NEWELL SQUARE CONDOMINIUM
213 1st ave s,Pioneer Square,RETAIL W/APARTMENT UNITS
1911 n 46th st,Wallingford,Jack - Lan Apartments
8551 greenwood ave n,Greenwood-Phinney Ridge,The Towers on Greenwood
717 dexter ave n,South Lake Union,HUE
620 ward st,Uptown,THE EDGE APTS-20 UNITS
800 queen anne ave n,Outside Villages,VAL ANNE APTS 48 UNIT
802 seneca st,First Hill,Apt under construction
2312 3rd ave,Belltown,MODA APTS
2225 4th ave,Belltown,SECURITY HOUSE
10316 greenwood ave n,Outside Villages,Smith Mixed Use
9255 greenwood ave n,Outside Villages,GREENWOOD ARMS CONDOMINIUM
2505 2nd ave,Belltown,LEGACY CENTRE SEATTLE (Condo Air Rights Allocation
3210 nw 54th st,Outside Villages,LOCKSIDE APTS EAST
820 nw 95th st,Outside Villages,BALLARD CARE & REHAB
1700 n northlake way,Outside Villages,REGATA CONDOMINIUM
8401 rainier pl s,Rainier Beach,EDEN ROC APTS
167 11th ave,12th Avenue,CLEARWATER APTS
4525 s henderson st,Rainier Beach,HENDERSON CONDOMINIUM
533 3rd ave w,Uptown,CENTER WEST
412 10th ave e,12th Avenue,SFR - ROOMING HOUSE
5008 renton ave s,Columbia City,Townhomes
1010 s henderson st,South Park,Duplexes and Triplexes
2221 gilman dr w,Outside Villages,QUEEN ANNE 20 CONDOMINIUM
2120 8th ave n,Outside Villages,REGATTA CONDOMINIUM
5205 39th ave s,Columbia City,CHINOOK APTS
534 lakeside ave s,Outside Villages,SHANGRI-LA
2614 4th ave n,Outside Villages,BOREALIS THE CONDOMINIUM
1207 spring st,First Hill,SAN MARCO APARTMENTS
1102 e spruce st,12th Avenue,SPRUCE STREET SCRC
400 broadway,12th Avenue,CAL ANDERSON HOUSE
730 n 85th st,Outside Villages,CASA BARBARA
1260 republican st,South Lake Union,Amli South Lake Union
1212 queen anne ave n,Upper Queen Anne,QUEEN ANNE HEIGHTS
1413 queen anne ave n,Upper Queen Anne,14 UNIT APT & SFR
1409 queen anne ave n,Upper Queen Anne,Christi's on Queen Anne
7101 38th ave s,Othello,Providence Peter Claver House
160 lee st,Outside Villages,ONE SIXTY LEE ST PH 01 CONDOMINIUM
1545 nw 57th st,Ballard,"BALLARD PLACE CONDOMINIUM (1556 NW 56th St, Seattl"
4207 phinney ave n,Outside Villages,SUNRAY APTS
4220 phinney ave n,Outside Villages,WEST VIEW APTS
550 aloha st,Uptown,TOWNE TERRACE CONDOMINIUM
500 w mercer st,Uptown,MERCER CREST APT
159 denny way,Belltown,MATAE BELLTOWN
1762 nw 57th st,Ballard,BALLARD SQUARE CONDOMINIUM
3916 s pearl st,Columbia City,Coral Reef Apts
10106 greenwood ave n,Outside Villages,SUNSET VILLA CONDOMINIUM
1015 queen anne ave n,Outside Villages,THE TIKI
1311 2nd ave w,Upper Queen Anne,13 UNIT APARTMENT
1420 4th ave w,Upper Queen Anne,KERRY PARK APTS
3701 s holly park dr,Othello,OTHELLO STATION CONDOMINIUM
310 17th ave s,23rd & Union-Jackson,Solana aPodments
411 10th ave,12th Avenue,RALEIGH RIDGE APT
1018 9th ave,First Hill,PAUL REVERE APTS
6500 35th ave sw,Outside Villages,WEST SEATTLE COMM. RESOURCE CENTER/FOOD BANK
1701 13th ave s,North Beacon Hill,C VII APTS
4840 california ave sw,West Seattle Junction,SAN JUAN APTS
7906 rainier ave s,Outside Villages,ANDERSON APT
308 4th ave s,Chinatown-International District,ADDISON (formerly Downtowner)
2114 e yesler way,23rd & Union-Jackson,APARTMENT BLDG 8 UNITS
2522 14th ave s,North Beacon Hill,EL CENTRO DE LA RAZA
99 union st,Commercial Core,99 UNION STREET PRIVATE RESIDENCES
