unitid,buildingid,name,beds,baths,footage,rent,availability
1889310,1956738,Studio_1,0,1,394,,False
1760410,1956738,Studio_1,0,1,394,,False
1237700,1956738,Studio_2,0,1,402,,False
1422142,1956738,Studio_2,0,1,402,,False
1411559,1956738,studio_3,0,1,398,,False
1312811,1956738,studio_3,0,1,398,,False
1435872,1956738,Studio_4,0,1,393,,False
1334795,1956738,Studio_4,0,1,393,,False
1046892,1956738,Studio_5,0,1,410,1149,True
1175681,1956738,Studio_5,0,1,410,1149,True
1115708,1956738,Studio_6,0,1,359,,False
1019182,1956738,Studio_6,0,1,359,,False
1042840,1859219,Standard Studio A,0,1,128,1050,True
1432145,1859219,Standard Studio A,0,1,128,1050,True
1537436,1859219,Standard Studio B,0,1,186,1162,True
1631221,1859219,Standard Studio B,0,1,186,1162,True
1387551,1859219,Deluxe Studio,0,1,350,1162,True
1002311,1859219,Deluxe Studio,0,1,350,1162,True
1044383,1859219,Standard One Bedroom,1,1,132,1245,True
1288923,1859219,Standard One Bedroom,1,1,132,1245,True
1167331,1859219,Deluxe One Bedroom,1,1,401,,False
1498237,1859219,Deluxe One Bedroom,1,1,401,,False
1277858,1301734,Studio 1,0,1,343,1200,True
1527719,1301734,Studio 2,0,1,424,1225,True
1314837,1301734,Studio 3,0,1,480,1250,True
1159221,1301734,Studio 4,0,1,490,1250,True
1972236,1301734,Studio 5,0,1,509,,False
1088924,1301734,Studio 6,0,1,531,,False
1047252,1301734,Studio 7,0,1,538,,False
1677517,1301734,Studio 8,0,1,539,,False
1779947,1301734,Studio 9,0,1,558,,False
1873471,1301734,Studio 10,0,1,559,,False
1749150,1301734,Studio 11,0,1,560,,False
1495914,1301734,Studio 12,0,1,623,,False
1840926,1301734,1 bd 1 ba A,1,1,829,,False
1302867,1301734,1 bd 1 ba B,1,1,539,,False
1357786,1301734,1 bd 1 ba C,1,1,548,,False
1320142,1301734,1 bd 1 ba D,1,1,829,,False
1261030,1301734,1 bd 1 ba E,1,1,851,,False
1807054,1301734,1 bd 1 ba F,1,1,1083,,False
1495652,1569701,Studio,0,1,420,1379,True
1561559,1569701,Studio,0,1,420,1379,True
1409301,1569701,1 Bedroom 1 Bath,1,1,756,1799,True
1251512,1569701,1 Bedroom 1 Bath,1,1,756,1799,True
1056604,1569701,2 Bedroom 1 Bath,2,1,966,,False
1624962,1569701,2 Bedroom 1 Bath,2,1,966,,False
1735418,1569701,2 Bedroom 2 Bath,2,2,966,1899,True
1586278,1569701,2 Bedroom 2 Bath,2,2,966,1899,True
1196599,1569701,3 Bedroom 2 Bath,3,2,1141,2451,True
1997696,1569701,3 Bedroom 2 Bath,3,2,1141,2451,True
1037369,1049148,A1,1,1,619,,False
1183151,1049148,A1,1,1,619,,False
1380436,1049148,A2,1,1,655,,False
